username, created_at, lng, lat, text
MissTinaCharles, Mon Apr 20 05:47:53 +0000 2020, 27.957458, -26.019720, Found my Queen's handle! 😍 Love you Sis 😘 Have a great week! @ElsaAngel19
IamOwolewa, Mon Apr 20 05:47:53 +0000 2020, 4.550274, 8.479930, Dear Lagosians pls #StayHome, the figures from the Centre or Excellence are not smiling at all. We need to fight th… https://t.co/6p6rvBkKM2
Zilfstar, Mon Apr 20 05:48:31 +0000 2020, 5.014858, 52.202099, #GoodMorning @davidcaruso1 #gang have a great day #StaySafe #StayHome 💙🙏 #MondayMotivation https://t.co/hzg3cvFHKu
shin_kouchiyama, Mon Apr 20 05:48:34 +0000 2020, 139.745379, 35.652789, 昨日作り始めた...ってすごいなぁ。
pk_pranshu, Mon Apr 20 05:48:41 +0000 2020, -123.123581, 49.257639, First #TigerKingNetflix and now #TooHotToHandle I think these days I will binge watch any trash and find it enterta… https://t.co/bOEOylgwRE
abdullghanee, Mon Apr 20 05:50:18 +0000 2020, 73.226307, 3.201397, @hassaanu thanks#StayHome #SaveLives #StaySafe
MatWhitecross, Mon Apr 20 05:50:46 +0000 2020, -0.210894, 51.611885, Beautiful work!! Thank you so much x
rafagcatelan, Mon Apr 20 05:51:12 +0000 2020, -46.740080, -23.364520, The Dark Days #Caieiras #caieirasaquisefalaaverdade #blackwhite #photography #UrbanShorts #Urban #City… https://t.co/U3S9qtcLuN
IAmNishit90, Mon Apr 20 05:51:38 +0000 2020, 70.233905, 21.029982, मणिपुर देश का दुसरा ऐसा राज्य बन गया है जहां कोरोना का अब एक भी संक्रमिक मरीज नहीं हैं.  #StayHome #CoronaVirus… https://t.co/yl6B6aHgOQ
Gold_TAMA_chang, Mon Apr 20 05:52:06 +0000 2020, 139.734119, 35.606513, #おうちカフェ#ネスプレッソ#おうち時間#STAYHOME#StayAtHome 場所: Shinagawa-ku, Tokyo, Japan https://t.co/qYXPa3m00G
gt_log, Mon Apr 20 05:52:24 +0000 2020, 103.836986, 46.858024, #StayHome #Mongolia #StaySafe https://t.co/7q6vv82D2O
ProfshineTech, Mon Apr 20 05:53:27 +0000 2020, 77.095086, 28.638489, Are you aware of the #coronavirus precautions ???There are 6 things to boost your immunity against #COVID19. Use t… https://t.co/TkkjQRv3qk
Kpo_do, Mon Apr 20 05:53:54 +0000 2020, 0.088342, 5.793586, I love this lady and I don't know why
SchottMarkus, Mon Apr 20 05:54:03 +0000 2020, 12.386702, 51.341515, Moin Twitterbande ☕Ich wünsche euch einen angenehmen Montag 😷#bleibtgesund #StayHome https://t.co/VsJQxwZyuH
ShibajiP, Mon Apr 20 05:54:23 +0000 2020, 88.352242, 22.612706, “এই বাংলা আমার হাসবে আবার”~ A good laugh is sunshine in the house.#StayHome n #Dream wid @iamrajchoco… https://t.co/f5IwSrqyCd
salhamchatta, Mon Apr 20 05:54:40 +0000 2020, 39.282390, -6.878811, New music coming your way get ready my people 🌸❤️🔥✨ #namiada #stayhome #StaySafe #salhamchatta
realmezzopiano, Mon Apr 20 05:55:44 +0000 2020, 29.427438, -25.756270, Beautiful girls love beautiful music😍#survivor2020 #oshakachallengeJoin #oshakachallenge be creative in your ow… https://t.co/q5ni5kK4fI
gopinathcv, Mon Apr 20 05:56:19 +0000 2020, 83.243809, 17.743096, Yesterday’s answer to the puzzle 26/40 is *R=20; S=28* So many answered correctly 👏😊Today’s puzzle 27/40👇… https://t.co/GH8OAN0Kja
Bsdaentertainm1, Mon Apr 20 05:56:26 +0000 2020, 3.395830, 6.453060, @Reyblinkx_VMT #famous issa big vibe!!! Vibe to put you on always! Go get it right away and let the rest of the wor… https://t.co/grvxa7MUIg
realmezzopiano, Mon Apr 20 05:56:28 +0000 2020, 29.427438, -25.756270, 🙏 OSHAKA ABAKHULLU 🐳
PadmajaSuzuki, Mon Apr 20 05:56:45 +0000 2020, 80.620488, 16.610865, Due to lockdown, Suzuki motorcycles warranty and free service period of all customer's two-wheelers expiring betwee… https://t.co/3eYWoqHv6f
zinmamina, Mon Apr 20 05:56:54 +0000 2020, 115.215300, -8.676400, Selfiess challange w/pillows 😁#zinmamina #selfieschallenge #pillowchallenge #challangeaccepted #justforfun… https://t.co/NbKWG9xWCK
realmezzopiano, Mon Apr 20 05:57:01 +0000 2020, 29.427438, -25.756270, 😂🙏Join #oshakachallenge be creative in your own space #stayhome #covid19 #lockdownsa #day24oflockdown
realmezzopiano, Mon Apr 20 05:57:22 +0000 2020, 29.427438, -25.756270, Join #oshakachallenge be creative in your own space #stayhome #covid19 #lockdownsa #day24oflockdown
dwivediraj8, Mon Apr 20 05:57:23 +0000 2020, 85.385683, 23.360435, सलमान खान जी सुपर से ऊपर...........
Strings_omo, Mon Apr 20 05:57:45 +0000 2020, 139.745379, 35.652789, お家時間を少しでも楽しめるように、お家でできるひと手間加えたシェフ直伝レシピをインスタでご紹介中☺️ ご好評につき第2弾♪シェフが教える「大人のプリン」レシピ👨‍🍳ぜひ作ってみてくださいね！▼… https://t.co/DA5P19w4Et
